"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"pl_transform_f1_data","2/24/2026, 12:51:56 AM","2/24/2026, 12:52:13 AM","17s","463245cb-7860-4b98-a999-eea7abf4a8d1","Succeeded","","Original","{""p_window_end_date"":""04/25/2021 16:30:00""}","[]","5f0ec7db-f858-471c-8231-40e5fae2c665"
"pl_ingest_f1_data","2/24/2026, 12:51:15 AM","2/24/2026, 12:51:55 AM","40s","d995fa92-4adc-4ac5-8ec3-9262ec62d9ef","Succeeded","","Original","{""p_window_end_date"":""04/25/2021 16:30:00""}","[]","15534f9e-baa4-45f7-8fce-e87ebfc9de90"
"pl_process_f1_data","2/24/2026, 12:51:13 AM","2/24/2026, 12:52:14 AM","1m 1s","trigger1","Succeeded","","Original","{""p_window_end_date"":""04/25/2021 16:30:00""}","[]","917cbd9b-7113-4471-90dc-551a3c347e5f"
"pl_transform_f1_data","2/24/2026, 12:48:43 AM","2/24/2026, 12:51:07 AM","2m 24s","c207c184-620a-4d66-916e-3d5993cc7ebd","Succeeded","","Original","{""p_window_end_date"":""04/18/2021 16:30:00""}","[]","87e60e34-c541-47ed-956b-38b7914184e1"
"pl_ingest_f1_data","2/24/2026, 12:43:06 AM","2/24/2026, 12:48:42 AM","5m 36s","daf5de00-c78f-4a2d-9f97-e51009cc6968","Succeeded","","Original","{""p_window_end_date"":""04/18/2021 16:30:00""}","[]","caed8a47-5847-43bb-a64f-3856e0f8816d"
"pl_process_f1_data","2/24/2026, 12:43:05 AM","2/24/2026, 12:51:09 AM","8m 4s","trigger1","Succeeded","","Original","{""p_window_end_date"":""04/18/2021 16:30:00""}","[]","9a49aab9-d5bb-468c-8c88-86b9e6f7369f"
"pl_transform_f1_data","2/24/2026, 12:42:51 AM","2/24/2026, 12:43:00 AM","10s","a59f86b2-aea0-4b31-ba90-39037dade3ac","Succeeded","","Original","{""p_window_end_date"":""04/11/2021 16:30:00""}","[]","730c6f4e-f410-4b7d-b18b-f614e9cca5c6"
"pl_ingest_f1_data","2/24/2026, 12:42:35 AM","2/24/2026, 12:42:50 AM","15s","c42384fc-80e4-4708-aa81-9479d6b73515","Succeeded","","Original","{""p_window_end_date"":""04/11/2021 16:30:00""}","[]","7a927abf-c939-48aa-b983-ad981cc91f65"
"pl_process_f1_data","2/24/2026, 12:42:34 AM","2/24/2026, 12:43:01 AM","28s","trigger1","Succeeded","","Original","{""p_window_end_date"":""04/11/2021 16:30:00""}","[]","b6efac4b-c391-4ba7-8616-c4433b9462c5"
"pl_transform_f1_data","2/24/2026, 12:42:19 AM","2/24/2026, 12:42:28 AM","9s","61273474-5696-48e1-89e5-5a2bd5600dca","Succeeded","","Original","{""p_window_end_date"":""04/04/2021 16:30:00""}","[]","aaa58050-f71f-488a-b8ce-be95ff2aa1b5"
"pl_ingest_f1_data","2/24/2026, 12:42:01 AM","2/24/2026, 12:42:18 AM","17s","cc5ced3a-ed58-41d5-988a-b50c284c112d","Succeeded","","Original","{""p_window_end_date"":""04/04/2021 16:30:00""}","[]","c040d067-8635-42e6-9c2e-a15dbea7bef7"
"pl_process_f1_data","2/24/2026, 12:41:59 AM","2/24/2026, 12:42:30 AM","31s","trigger1","Succeeded","","Original","{""p_window_end_date"":""04/04/2021 16:30:00""}","[]","c34dcfac-b160-4700-a7bd-f4dc598f96c0"
"pl_transform_f1_data","2/24/2026, 12:39:19 AM","2/24/2026, 12:41:51 AM","2m 33s","d121617b-d357-4ac2-be22-27cb83dba96b","Succeeded","","Original","{""p_window_end_date"":""03/28/2021 16:30:00""}","[]","c3ef9a02-4f1c-4495-b721-3ef79b00faa3"
"pl_ingest_f1_data","2/24/2026, 12:33:35 AM","2/24/2026, 12:39:17 AM","5m 43s","0a61b2d9-f0fe-4a64-ae35-3e57d939db60","Succeeded","","Original","{""p_window_end_date"":""03/28/2021 16:30:00""}","[]","7229760f-3f00-4d94-8ff6-0ed231a337c5"
"pl_process_f1_data","2/24/2026, 12:33:33 AM","2/24/2026, 12:41:53 AM","8m 20s","trigger1","Succeeded","","Original","{""p_window_end_date"":""03/28/2021 16:30:00""}","[]","7c76a1c5-ad5f-4a86-96c4-8ed8188553e8"
"pl_transform_f1_data","2/24/2026, 12:29:46 AM","2/24/2026, 12:33:28 AM","3m 43s","1eda377d-0b6a-4c4e-b053-feca339c546a","Succeeded","","Original","{""p_window_end_date"":""03/21/2021 16:30:00""}","[]","fbb3ef14-1562-4d6e-abb3-35890b40812a"
"pl_ingest_f1_data","2/24/2026, 12:19:19 AM","2/24/2026, 12:29:43 AM","10m 24s","8de296f5-3a8a-4de6-a74d-a1dd055b2dbf","Succeeded","","Original","{""p_window_end_date"":""03/21/2021 16:30:00""}","[]","493b90ce-36f0-4d39-a807-d199141395a5"
"pl_process_f1_data","2/24/2026, 12:19:17 AM","2/24/2026, 12:33:30 AM","14m 13s","trigger1","Succeeded","","Original","{""p_window_end_date"":""03/21/2021 16:30:00""}","[]","731f3e92-57e8-404f-a087-43f7dbb8ad54"
